Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
B,Ship,3.0,5,202,2.0,medium,8.0,4552.0,1
C,Ship,,2,150,2.0,medium,,5264.0,0
D,Ship,5.0,2,173,,medium,4.0,5363.0,0
F,Ship,4.0,5,237,2.0,medium,60.0,3427.0,1
C,Ship,3.0,1,234,3.0,low,,2596.0,1
C,Ship,4.0,3,197,,high,,4410.0,0
C,Ship,5.0,4,216,2.0,high,,4535.0,0
B,Ship,5.0,3,240,5.0,high,6.0,1489.0,0
B,Ship,4.0,1,143,2.0,medium,,1996.0,1
B,Road,,1,260,3.0,high,9.0,4239.0,0
F,Road,,5,190,4.0,medium,12.0,2947.0,1
D,Road,3.0,2,250,3.0,medium,4.0,,0
F,Ship,6.0,3,278,4.0,medium,,1716.0,0
D,Ship,3.0,5,270,6.0,medium,9.0,4195.0,0
F,Ship,3.0,5,275,3.0,high,6.0,5148.0,0
C,Flight,5.0,2,171,,low,34.0,1029.0,1
A,?,4.0,3,280,6.0,low,8.0,4525.0,0
F,Ship,4.0,2,147,2.0,medium,20.0,1387.0,1
D,Ship,4.0,2,227,5.0,medium,6.0,,0
B,Road,4.0,2,239,2.0,medium,9.0,4360.0,0
C,Flight,3.0,2,224,3.0,medium,,5343.0,1
F,Ship,,4,222,3.0,high,,5819.0,0
F,Ship,,5,263,,high,,2267.0,1
C,Ship,5.0,2,252,3.0,high,,5058.0,0
F,Road,3.0,2,263,3.0,high,,,1
D,Ship,5.0,3,223,3.0,high,,4671.0,1
F,Ship,5.0,1,235,,high,27.0,2451.0,1
F,Ship,4.0,4,222,2.0,high,,5660.0,0
B,Ship,7.0,3,267,,high,7.0,1384.0,0
C,Road,3.0,4,167,3.0,medium,50.0,,1
F,Ship,5.0,1,248,8.0,high,2.0,4023.0,1
A,?,4.0,2,225,2.0,high,6.0,2010.0,1
D,Ship,2.0,4,153,2.0,medium,57.0,1264.0,1
F,Road,,5,133,3.0,medium,3.0,1403.0,1
D,Ship,4.0,2,185,,medium,,,0
F,Road,5.0,4,263,2.0,medium,,4595.0,0
C,Ship,,2,243,,medium,8.0,4093.0,0
F,Flight,5.0,3,254,2.0,medium,5.0,4764.0,1
F,Flight,3.0,3,153,2.0,high,,1328.0,1
A,Ship,4.0,5,273,3.0,high,,5043.0,1
C,Ship,4.0,2,192,3.0,high,3.0,4130.0,1
F,Ship,,5,202,3.0,medium,46.0,3181.0,1
B,Ship,4.0,5,243,3.0,high,9.0,5263.0,0
A,Road,5.0,2,196,3.0,medium,44.0,2085.0,1
F,?,4.0,1,163,,high,3.0,4099.0,1
D,Ship,,1,153,3.0,high,10.0,5121.0,1
D,Ship,3.0,1,273,6.0,high,9.0,1198.0,1
B,Road,,2,268,10.0,medium,,4483.0,0
D,Ship,,1,232,5.0,high,,1427.0,0
D,Road,,5,170,,high,10.0,5621.0,1
B,Ship,,3,210,,medium,,,1
F,Flight,,3,158,2.0,medium,7.0,4865.0,0
B,Ship,5.0,2,284,4.0,high,1.0,4171.0,1
F,Ship,6.0,3,260,,high,1.0,1775.0,0
C,Flight,3.0,2,273,3.0,low,8.0,5754.0,1
A,Ship,4.0,5,140,3.0,medium,,4956.0,0
C,Ship,4.0,2,247,3.0,medium,64.0,,1
C,Ship,3.0,3,154,4.0,medium,7.0,1915.0,0
F,Ship,6.0,3,244,3.0,medium,4.0,,1
F,Ship,5.0,2,140,,medium,,1521.0,0
A,Ship,6.0,5,251,4.0,medium,,1660.0,0
D,Ship,4.0,5,147,,medium,19.0,1940.0,1
F,Road,6.0,4,272,2.0,high,7.0,4145.0,0
D,Ship,3.0,1,200,2.0,medium,,2551.0,1
A,Road,4.0,5,105,5.0,low,,5824.0,1
F,Ship,,1,247,2.0,medium,,5098.0,0
F,Ship,5.0,2,280,4.0,high,8.0,4539.0,1
C,Flight,3.0,5,182,,medium,,3595.0,1
F,Ship,5.0,2,244,6.0,high,,1702.0,1
F,Flight,5.0,4,182,,medium,,,1
D,Road,4.0,2,261,5.0,medium,5.0,1073.0,1
F,Flight,5.0,2,244,6.0,high,7.0,1315.0,0
D,Ship,6.0,5,256,4.0,high,2.0,1163.0,0
A,Ship,4.0,2,233,5.0,high,8.0,1097.0,0
F,Ship,4.0,2,280,4.0,high,,5288.0,1
F,Ship,,5,222,,medium,2.0,4425.0,0
F,Ship,5.0,2,285,4.0,medium,,1666.0,1
C,Ship,5.0,5,162,4.0,high,,1311.0,0
C,Ship,3.0,1,238,,high,,5158.0,0
F,Road,5.0,5,132,3.0,high,,4195.0,1
F,Ship,6.0,5,304,4.0,high,,1755.0,1
F,Ship,3.0,4,145,4.0,low,,5801.0,0
A,Ship,5.0,4,275,2.0,medium,,5395.0,1
A,Ship,4.0,2,216,3.0,high,10.0,4636.0,0
C,Ship,,2,191,2.0,low,,2059.0,1
F,Ship,2.0,1,209,5.0,high,,2016.0,1
F,Ship,5.0,3,239,,high,,3734.0,1
A,Ship,4.0,1,251,3.0,high,,2502.0,1
F,Ship,4.0,3,220,3.0,medium,8.0,3342.0,1
C,Flight,5.0,4,180,2.0,high,52.0,1122.0,1
A,Ship,3.0,1,155,3.0,medium,7.0,5709.0,0
F,Ship,3.0,2,140,2.0,high,16.0,1685.0,1
F,?,3.0,4,208,,medium,,2100.0,1
C,Flight,,5,260,3.0,high,,4331.0,0
B,Flight,3.0,3,158,3.0,high,,5502.0,0
F,Ship,4.0,4,151,2.0,high,,1001.0,1
C,Ship,4.0,4,211,3.0,medium,,4812.0,0
A,Road,,4,204,4.0,medium,35.0,2513.0,1
A,Ship,,3,281,,?,,1884.0,0
B,Ship,5.0,1,234,3.0,medium,40.0,3340.0,1
F,Flight,3.0,2,115,3.0,high,,1814.0,1
B,Ship,,1,238,4.0,medium,,,0
F,Ship,2.0,4,268,,high,,4400.0,1
F,Road,3.0,3,265,3.0,medium,,5241.0,0
D,Road,4.0,5,239,2.0,medium,,4247.0,0
C,Ship,,5,181,4.0,high,,5812.0,0
B,Ship,5.0,5,248,,high,4.0,5587.0,0
A,Ship,5.0,3,113,3.0,medium,5.0,4743.0,0
F,Ship,5.0,3,245,5.0,high,10.0,1112.0,0
F,Ship,3.0,1,268,3.0,high,2.0,4746.0,1
D,Ship,3.0,5,223,4.0,high,,3938.0,1
F,Ship,3.0,3,101,2.0,medium,,4860.0,0
D,Ship,3.0,3,242,,medium,8.0,5915.0,1
D,Ship,5.0,3,210,3.0,high,5.0,4560.0,1
D,Ship,4.0,4,145,3.0,medium,8.0,5780.0,0
F,Flight,5.0,4,182,4.0,high,,3063.0,1
F,Ship,,2,244,3.0,low,,5781.0,1
D,Flight,6.0,2,291,4.0,high,8.0,1019.0,0
B,Ship,6.0,3,274,6.0,medium,2.0,4281.0,0
B,Ship,3.0,5,150,,high,,1256.0,1
F,Ship,3.0,3,167,4.0,medium,1.0,5301.0,0
D,Ship,5.0,1,257,5.0,medium,,1619.0,0
A,Road,4.0,4,206,3.0,high,,5572.0,1
B,Ship,6.0,5,161,,medium,,1338.0,1
B,Ship,5.0,2,216,4.0,medium,9.0,5804.0,0
B,Ship,,4,247,2.0,high,2.0,4975.0,1
B,Ship,4.0,5,157,3.0,medium,2.0,4343.0,1
C,Ship,,4,209,3.0,medium,,3026.0,1
C,Flight,4.0,2,142,,medium,,4918.0,0
D,Flight,3.0,2,220,3.0,high,,5032.0,1
F,Ship,7.0,4,287,4.0,high,9.0,,1
A,Ship,,3,154,3.0,medium,10.0,1711.0,1
D,Flight,,1,242,3.0,medium,35.0,,1
D,Ship,3.0,4,227,4.0,high,,5465.0,0
F,Ship,4.0,3,272,,medium,,,1
A,Road,3.0,3,218,4.0,medium,,1678.0,1
D,Ship,4.0,2,183,3.0,high,5.0,3716.0,1
B,Flight,4.0,2,167,2.0,high,5.0,1169.0,1
A,Flight,5.0,1,172,2.0,medium,,,0
A,Ship,4.0,1,253,,medium,9.0,5502.0,1
B,Ship,,3,200,4.0,high,10.0,4291.0,1
B,Ship,3.0,1,165,3.0,medium,61.0,1313.0,1
B,Ship,4.0,2,252,3.0,medium,,5769.0,0
B,Ship,5.0,1,198,4.0,high,,5719.0,0
C,?,5.0,4,196,,medium,,5427.0,1
D,?,4.0,1,184,3.0,high,8.0,4667.0,0
B,Ship,2.0,3,147,3.0,high,,5013.0,0
F,Ship,5.0,1,203,5.0,medium,2.0,4845.0,0
F,Road,2.0,2,160,,medium,9.0,4613.0,0
B,Ship,4.0,5,248,2.0,medium,10.0,4366.0,1
F,Flight,,2,119,2.0,high,32.0,1791.0,1
F,Ship,4.0,3,206,3.0,medium,20.0,2247.0,1
B,Flight,3.0,4,180,6.0,medium,3.0,5605.0,0
B,Ship,,2,151,3.0,medium,8.0,,1
B,Ship,3.0,4,172,,high,,,1
D,Ship,2.0,3,139,3.0,high,,1788.0,1
B,Road,3.0,5,264,6.0,high,,2751.0,1
D,Ship,3.0,1,133,3.0,high,,5213.0,1
D,Ship,,2,180,3.0,medium,1.0,4655.0,1
C,Ship,4.0,3,226,2.0,high,32.0,2912.0,1
D,Flight,,1,261,,medium,,5600.0,1
F,Ship,4.0,4,163,3.0,medium,7.0,4463.0,0
F,Ship,4.0,4,232,4.0,high,,3436.0,1
B,Ship,4.0,5,240,2.0,medium,6.0,5045.0,1
A,Ship,5.0,5,238,,high,3.0,1965.0,1
A,Ship,6.0,2,247,4.0,medium,,1941.0,0
C,Ship,4.0,4,187,3.0,high,8.0,4893.0,0
F,Road,3.0,1,146,10.0,high,,4032.0,1
B,Ship,5.0,5,228,4.0,high,,4946.0,1
D,Flight,,1,179,2.0,low,,5301.0,1
D,Flight,,1,198,4.0,high,,5025.0,1
F,Road,3.0,4,284,10.0,high,,4562.0,1
B,Ship,4.0,2,184,3.0,medium,,5931.0,1
A,Flight,4.0,5,259,2.0,?,,2381.0,1
A,Ship,4.0,4,254,,high,2.0,1573.0,1
F,Flight,4.0,1,222,2.0,high,10.0,4714.0,1
F,Road,,4,153,2.0,high,,4248.0,0
B,Ship,,4,279,4.0,high,,1246.0,1
C,Ship,6.0,4,261,4.0,high,,1794.0,1
F,Flight,4.0,4,143,,medium,,1326.0,1
F,Ship,,5,275,3.0,medium,,4287.0,1
C,Ship,2.0,1,142,3.0,medium,8.0,6064.0,1
A,Ship,5.0,2,144,3.0,high,,1202.0,1
C,?,,3,228,2.0,low,,4719.0,1
A,Road,5.0,1,242,5.0,high,9.0,1767.0,0
B,Road,4.0,5,254,3.0,high,,3885.0,1
A,Flight,3.0,5,161,3.0,high,,5629.0,0
B,?,,4,146,10.0,high,,4351.0,0
F,Ship,5.0,2,243,2.0,?,,3681.0,1
A,?,4.0,1,251,2.0,high,2.0,4839.0,1
A,Ship,2.0,2,135,,high,58.0,1734.0,1
B,Ship,3.0,3,147,3.0,high,16.0,1563.0,1
C,Ship,5.0,3,264,5.0,medium,,1399.0,0
C,Ship,,3,246,3.0,medium,,2440.0,1
F,Flight,3.0,5,257,3.0,medium,4.0,5196.0,1
D,Ship,5.0,5,182,3.0,medium,10.0,5060.0,0
B,Ship,5.0,2,174,2.0,medium,54.0,,1
F,?,3.0,5,195,2.0,?,9.0,5832.0,0
F,Flight,4.0,1,152,3.0,medium,3.0,4250.0,1
F,Ship,7.0,5,255,4.0,high,2.0,1826.0,1
C,Ship,5.0,3,230,4.0,medium,,5278.0,1
C,Ship,7.0,1,285,4.0,high,2.0,1516.0,0
A,Ship,7.0,3,255,4.0,medium,,1373.0,0
C,Flight,7.0,3,307,4.0,high,1.0,1793.0,1
A,Ship,6.0,4,268,,medium,,4126.0,1
B,Road,4.0,2,278,6.0,high,36.0,2330.0,1
C,Ship,3.0,5,267,2.0,medium,,4703.0,0
F,?,5.0,5,137,,high,,5888.0,0
F,Road,5.0,1,145,3.0,high,20.0,1387.0,1
F,Ship,3.0,4,164,6.0,medium,4.0,5567.0,1
F,?,,3,268,3.0,high,,5998.0,0
A,Ship,4.0,2,242,3.0,medium,10.0,4721.0,0
F,Road,2.0,4,160,3.0,high,,1030.0,1
F,Ship,,2,227,2.0,low,35.0,3583.0,1
F,Ship,4.0,3,131,5.0,high,6.0,1659.0,1
C,Ship,3.0,5,196,,high,5.0,4891.0,0
F,Ship,,3,211,3.0,medium,,3296.0,1
F,Ship,4.0,4,158,2.0,medium,15.0,1030.0,1
B,Flight,5.0,4,242,,low,2.0,3564.0,1
A,Ship,5.0,3,248,3.0,medium,10.0,5567.0,1
A,Ship,,5,133,3.0,medium,21.0,1648.0,1
F,Ship,,1,256,2.0,medium,63.0,,1
C,Road,3.0,5,242,2.0,high,,5635.0,0
B,Ship,3.0,2,192,3.0,high,,3183.0,1
C,?,5.0,5,226,3.0,medium,65.0,3840.0,1
D,Ship,3.0,2,214,,medium,1.0,5362.0,0
F,Ship,,4,212,2.0,medium,5.0,4774.0,1
A,Ship,7.0,3,307,4.0,high,,1653.0,0
D,Flight,3.0,5,198,3.0,?,1.0,3667.0,1
D,Ship,4.0,1,193,,high,,4796.0,0
F,Ship,,2,232,,medium,3.0,1500.0,0
C,Ship,5.0,3,156,4.0,high,9.0,4098.0,0
D,Road,6.0,3,271,4.0,high,2.0,1364.0,1
F,Ship,6.0,5,275,4.0,high,,1700.0,1
D,Ship,,5,218,2.0,high,,5142.0,0
C,Ship,5.0,4,254,5.0,high,,1350.0,0
C,Ship,6.0,5,201,5.0,medium,,5771.0,0
D,Ship,5.0,5,235,3.0,high,4.0,5325.0,0
B,Ship,,3,235,,high,5.0,3065.0,1
B,Road,4.0,5,219,5.0,high,,1260.0,0
C,Ship,,1,193,10.0,low,1.0,4459.0,0
F,Road,4.0,5,179,3.0,high,,4487.0,0
C,Ship,6.0,1,264,4.0,high,,1960.0,0
D,Flight,,5,299,4.0,high,,1192.0,0
F,Ship,4.0,3,217,3.0,medium,16.0,3444.0,1
D,Flight,5.0,3,266,3.0,high,19.0,2508.0,1
B,Flight,6.0,4,303,5.0,high,,1195.0,1
F,?,,2,257,2.0,medium,,4242.0,1
F,Flight,4.0,1,196,3.0,medium,,5216.0,1
B,Ship,5.0,1,264,3.0,high,,2882.0,1
D,Ship,4.0,3,196,3.0,high,,4194.0,1
F,Ship,,2,149,2.0,medium,8.0,5396.0,0
C,Road,4.0,3,256,,high,5.0,1533.0,1
D,Ship,4.0,4,266,6.0,high,2.0,1776.0,1
F,Road,,1,180,6.0,high,,4802.0,1
A,Ship,2.0,5,127,3.0,high,,1341.0,1
C,Road,3.0,4,196,2.0,medium,5.0,4342.0,1
A,Ship,2.0,5,139,3.0,high,,1233.0,1
C,Ship,,2,242,3.0,medium,,4644.0,1
F,Ship,4.0,3,189,2.0,high,,4765.0,0
D,Road,5.0,3,271,,low,9.0,1813.0,1
F,Ship,3.0,5,286,,medium,,4424.0,0
A,Ship,,2,152,4.0,high,48.0,1212.0,1
B,Ship,,3,188,,medium,2.0,4336.0,0
B,Ship,7.0,2,285,4.0,high,,1491.0,1
D,Ship,,2,157,2.0,high,,1115.0,1
A,Ship,4.0,4,257,10.0,?,4.0,4710.0,0
C,Road,4.0,4,229,5.0,high,9.0,1361.0,0
F,Ship,4.0,4,136,,high,,1900.0,1
D,Ship,,1,238,2.0,medium,,4355.0,1
B,Road,3.0,5,159,2.0,low,9.0,4099.0,1
D,?,6.0,4,264,5.0,medium,,1220.0,1
F,Road,,3,259,2.0,low,,4481.0,0
D,Ship,4.0,3,169,10.0,medium,6.0,5106.0,1
C,Flight,6.0,5,252,4.0,high,2.0,1249.0,0
F,Ship,,3,270,3.0,low,,4690.0,1
D,Ship,,5,162,,medium,10.0,4850.0,1
D,Ship,5.0,2,213,3.0,high,,5526.0,0
D,Ship,3.0,3,217,3.0,high,6.0,4887.0,0
B,Ship,4.0,1,232,5.0,medium,,1899.0,1
F,Ship,,5,265,,medium,,4268.0,1
D,Flight,3.0,2,138,2.0,medium,8.0,5714.0,0
F,Ship,3.0,3,145,3.0,high,10.0,5696.0,0
D,Ship,,3,133,5.0,medium,,1367.0,1
D,Road,4.0,5,181,3.0,medium,1.0,5310.0,0
B,Ship,5.0,1,246,,medium,,3993.0,1
B,Ship,5.0,1,167,3.0,medium,,4267.0,1
B,Flight,3.0,4,184,,medium,2.0,4052.0,0
B,Road,3.0,2,140,2.0,low,7.0,1401.0,1
A,Ship,3.0,1,165,,high,6.0,4445.0,0
D,Ship,4.0,1,258,3.0,medium,,4159.0,0
D,Ship,3.0,4,166,3.0,medium,,1095.0,1
C,Ship,,2,254,2.0,high,5.0,4985.0,1
A,Ship,4.0,1,253,5.0,high,,1235.0,0
F,Flight,5.0,3,267,,high,,1119.0,1
A,Ship,,4,145,3.0,high,,4492.0,1
F,Ship,,3,253,5.0,high,,1367.0,1
D,Ship,5.0,3,186,4.0,medium,,3676.0,1
F,?,4.0,2,137,2.0,medium,,4622.0,1
D,Ship,,2,111,5.0,medium,3.0,1711.0,1
F,Flight,5.0,1,240,3.0,low,,5277.0,0
D,Flight,4.0,1,250,2.0,medium,,3021.0,1
F,Ship,3.0,3,168,4.0,high,,4096.0,1
F,Flight,6.0,3,297,4.0,medium,1.0,1080.0,0
A,Ship,,4,168,3.0,high,,5488.0,1
F,Ship,,1,154,,high,1.0,5578.0,0
F,Ship,3.0,1,233,3.0,high,7.0,4874.0,0
F,Ship,5.0,2,243,3.0,low,,5734.0,1
D,Road,3.0,4,212,3.0,high,6.0,5935.0,1
F,Ship,3.0,1,228,2.0,high,,4456.0,1
B,Flight,3.0,4,132,,medium,12.0,1493.0,1
A,Flight,3.0,3,234,3.0,high,3.0,4405.0,0
F,Ship,4.0,2,273,5.0,high,4.0,1223.0,1
B,Flight,3.0,1,104,2.0,high,1.0,1021.0,1
C,Ship,4.0,3,143,3.0,medium,,,1
A,Ship,,2,243,5.0,medium,4.0,1633.0,1
B,Ship,5.0,5,221,5.0,high,,1220.0,0
F,Flight,6.0,5,256,5.0,high,10.0,1686.0,0
F,Ship,,1,219,2.0,medium,,5314.0,0
D,Ship,6.0,4,246,4.0,medium,3.0,1852.0,0
A,Road,,2,172,2.0,high,,,1
F,Ship,4.0,1,183,3.0,medium,,4789.0,0
C,Ship,4.0,5,180,2.0,medium,,4332.0,0
F,Flight,3.0,5,218,,medium,60.0,3048.0,1
D,Flight,4.0,3,246,5.0,medium,10.0,1646.0,1
D,Flight,5.0,3,270,5.0,medium,7.0,1303.0,1
B,Ship,4.0,2,267,5.0,high,,4720.0,1
F,Ship,5.0,1,258,5.0,?,9.0,1856.0,1
D,?,3.0,3,99,3.0,low,,1223.0,1
F,Road,,2,134,,medium,45.0,1946.0,1
D,Ship,5.0,1,207,2.0,low,,,0
D,Ship,5.0,3,270,2.0,high,7.0,5248.0,1
F,?,,3,242,3.0,high,,4199.0,0
B,Road,,2,202,2.0,high,45.0,,1
C,Flight,4.0,4,258,,medium,,4578.0,0
F,Road,5.0,1,239,5.0,high,,1815.0,0
A,Road,4.0,3,210,3.0,high,3.0,2742.0,1
C,Ship,4.0,3,258,3.0,high,12.0,2017.0,1
B,Ship,,1,236,2.0,low,,3949.0,1
F,Road,6.0,3,269,4.0,high,3.0,1006.0,0
F,Ship,,2,310,4.0,high,4.0,1806.0,0
F,Ship,4.0,4,256,,low,,1927.0,1
D,Ship,6.0,4,157,6.0,high,,5354.0,1
C,Ship,,4,206,5.0,?,,1680.0,0
D,Ship,4.0,3,135,3.0,high,15.0,1008.0,1
C,Road,,5,162,2.0,medium,,,1
F,Ship,4.0,3,142,3.0,medium,,5930.0,0
F,Ship,3.0,4,171,3.0,high,10.0,4839.0,0
F,Ship,5.0,2,172,5.0,medium,,4805.0,0
A,Flight,5.0,4,136,4.0,high,9.0,5469.0,0
A,?,,2,237,5.0,high,8.0,4461.0,0
F,?,3.0,4,134,3.0,high,9.0,4436.0,0
F,Ship,7.0,3,300,4.0,medium,5.0,1244.0,0
F,Flight,5.0,3,238,5.0,medium,,1150.0,1
A,Ship,,4,227,2.0,medium,,5904.0,0
F,Ship,4.0,3,151,,medium,,5379.0,1
F,Ship,4.0,2,264,,high,9.0,4490.0,0
C,Ship,3.0,1,263,,medium,4.0,4208.0,0
A,Flight,4.0,2,223,5.0,medium,3.0,4480.0,0
A,Ship,4.0,2,222,2.0,?,,5115.0,1
B,Road,4.0,4,227,3.0,medium,,2761.0,1
F,Ship,4.0,3,270,2.0,low,,5346.0,0
F,Ship,,2,223,6.0,medium,,1210.0,0
F,Road,5.0,4,251,2.0,high,,5347.0,1
B,Ship,2.0,1,271,6.0,high,2.0,4237.0,1
A,Ship,3.0,2,173,,high,15.0,1992.0,1
D,Flight,3.0,1,264,4.0,high,,3561.0,1
F,Flight,3.0,4,218,2.0,medium,,5973.0,0
D,Flight,4.0,1,266,2.0,low,,5116.0,0
A,Road,5.0,5,253,5.0,high,,1482.0,0
C,Ship,,4,205,3.0,high,,,1
C,Ship,3.0,4,212,3.0,medium,,4811.0,0
D,Ship,3.0,2,145,2.0,medium,29.0,1690.0,1
B,Ship,4.0,2,232,3.0,medium,8.0,4658.0,1
B,Ship,3.0,1,254,3.0,medium,,3496.0,1
F,Ship,3.0,3,153,5.0,high,35.0,1089.0,1
B,Road,5.0,1,236,2.0,high,,4987.0,1
A,Ship,3.0,2,182,10.0,high,,,0
C,Ship,,1,153,2.0,high,7.0,4944.0,1
F,Ship,5.0,1,103,,high,3.0,4966.0,0
A,Ship,5.0,5,264,3.0,medium,56.0,3482.0,1
A,Road,5.0,4,144,3.0,high,,1178.0,1
F,Ship,5.0,1,245,2.0,medium,,4882.0,1
D,Road,3.0,2,267,5.0,high,,2622.0,1
F,Ship,4.0,5,184,3.0,high,5.0,4039.0,1
D,Ship,,3,250,4.0,medium,4.0,1111.0,1
A,Ship,3.0,1,194,,high,,5566.0,0
F,Ship,4.0,4,147,4.0,high,,5882.0,0
D,Flight,4.0,4,132,3.0,medium,5.0,4613.0,0
D,Ship,3.0,1,165,3.0,low,,4208.0,0
B,Flight,2.0,5,193,5.0,medium,13.0,2882.0,1
F,Flight,4.0,3,132,4.0,medium,10.0,1767.0,1
A,Road,4.0,4,145,3.0,high,,1651.0,1
C,Ship,,2,272,4.0,medium,,1188.0,1
D,Ship,5.0,2,174,3.0,medium,10.0,4902.0,1
F,?,5.0,5,223,,medium,3.0,4382.0,0
D,Ship,2.0,5,238,2.0,high,6.0,5325.0,1
F,Ship,6.0,3,279,4.0,high,,1090.0,1
A,Ship,,5,269,4.0,high,,1264.0,1
F,Ship,,5,175,2.0,high,40.0,,1
F,Ship,,5,124,3.0,high,,4331.0,0
B,Road,5.0,3,197,,high,,5581.0,0
C,Ship,4.0,4,223,4.0,high,,4219.0,0
F,Ship,3.0,2,261,5.0,medium,,2488.0,1
B,Ship,,3,231,3.0,medium,53.0,2333.0,1
A,Ship,3.0,1,238,3.0,medium,,4399.0,1
B,?,6.0,2,309,4.0,medium,8.0,1930.0,0
D,Ship,4.0,2,259,5.0,medium,,1054.0,0
D,Ship,4.0,2,272,4.0,high,,2307.0,1
F,Ship,,4,177,2.0,high,6.0,5116.0,0
A,Flight,,2,240,,medium,,2174.0,1
A,Ship,,5,271,3.0,high,,5229.0,1
F,Ship,4.0,4,246,3.0,high,7.0,4090.0,0
D,Ship,3.0,3,201,3.0,high,2.0,5540.0,1
C,Flight,5.0,1,220,3.0,medium,8.0,5727.0,1
C,Ship,3.0,2,159,,medium,,5577.0,1
C,?,,3,236,3.0,high,,3652.0,1
A,Ship,,2,273,5.0,medium,8.0,2000.0,0
A,Flight,,3,239,,medium,,5511.0,1
C,Ship,2.0,5,241,3.0,medium,3.0,4253.0,1
F,Ship,3.0,3,202,2.0,medium,1.0,5220.0,1
A,?,4.0,2,171,3.0,high,,1352.0,1
A,Ship,3.0,1,150,3.0,high,43.0,1831.0,1
D,Flight,4.0,4,156,,medium,7.0,5938.0,0
F,Ship,,2,232,3.0,medium,7.0,5737.0,1
C,Ship,6.0,4,286,4.0,high,8.0,1690.0,1
F,Road,6.0,1,247,3.0,high,1.0,4637.0,1
C,Flight,5.0,4,245,5.0,medium,,1771.0,1
F,Ship,5.0,1,242,5.0,medium,,1382.0,1
C,Ship,2.0,3,184,4.0,medium,3.0,4719.0,0
A,Road,,5,163,3.0,medium,,4887.0,0
C,Road,,5,283,5.0,high,,1578.0,0
D,Ship,3.0,2,205,2.0,high,6.0,4853.0,0
A,Road,6.0,4,262,5.0,high,9.0,1369.0,0
B,Ship,6.0,5,271,4.0,high,,1710.0,1
F,?,4.0,2,170,10.0,medium,,4696.0,1
A,Flight,4.0,4,216,6.0,high,5.0,1272.0,0
F,Ship,4.0,2,216,,medium,,3024.0,1
A,Ship,3.0,5,259,3.0,high,10.0,5978.0,0
D,Ship,,4,221,5.0,high,,1927.0,1
C,Flight,3.0,3,183,3.0,low,6.0,3364.0,1
B,Road,5.0,5,184,,high,2.0,5800.0,0
C,Ship,4.0,5,209,2.0,high,,4047.0,0
F,Ship,3.0,1,252,4.0,low,,4303.0,0
D,Ship,,3,181,4.0,high,,5332.0,0
F,?,2.0,5,228,3.0,high,8.0,5643.0,1
D,Flight,4.0,3,192,4.0,low,,4949.0,0
A,Flight,4.0,2,203,4.0,medium,,4217.0,0
F,Road,,3,256,3.0,high,15.0,3155.0,1
B,Ship,7.0,3,306,4.0,high,,1790.0,1
B,Road,5.0,3,160,3.0,low,,1977.0,1
B,Road,3.0,3,252,2.0,medium,,2102.0,1
D,Ship,3.0,4,240,3.0,low,6.0,4412.0,0
B,Ship,,5,272,,medium,,5034.0,1
F,Ship,4.0,3,144,2.0,high,,,0
C,Flight,4.0,4,127,5.0,high,16.0,1955.0,1
F,Ship,4.0,2,169,,medium,7.0,1897.0,0
A,Road,,4,195,3.0,medium,10.0,2021.0,1
F,Flight,4.0,3,167,3.0,medium,,4621.0,1
F,Flight,,4,198,6.0,medium,,5730.0,1
F,Ship,4.0,1,132,2.0,medium,,5025.0,1
D,Ship,,5,123,,high,60.0,1653.0,1
B,Ship,6.0,4,268,4.0,medium,9.0,1354.0,1
A,Flight,3.0,2,264,3.0,medium,5.0,3861.0,1
F,Ship,,5,171,3.0,medium,7.0,5318.0,1
C,Ship,3.0,3,205,2.0,medium,,2427.0,1
C,Ship,,3,158,,high,,1374.0,1
A,Ship,3.0,2,158,7.0,medium,,4244.0,1
F,Flight,4.0,4,137,3.0,medium,,4066.0,1
D,Ship,3.0,3,257,3.0,high,,4937.0,1
B,Ship,3.0,5,141,2.0,medium,9.0,5000.0,0
D,Ship,2.0,2,137,3.0,high,,1823.0,1
C,Ship,3.0,5,141,3.0,medium,10.0,5775.0,0
F,Ship,5.0,1,194,7.0,medium,,4770.0,0
D,Ship,3.0,4,223,2.0,high,,4211.0,0
F,Ship,5.0,2,184,3.0,medium,,4581.0,0
C,Road,5.0,2,250,2.0,medium,,5565.0,0
B,Ship,3.0,4,178,8.0,medium,6.0,4146.0,0
B,Ship,4.0,3,245,6.0,high,3.0,1155.0,0
B,Ship,5.0,2,214,,high,,3234.0,1
A,Flight,,1,208,7.0,low,,2674.0,1
C,Flight,3.0,5,169,3.0,high,,5659.0,0
D,Road,,3,236,2.0,low,23.0,,1
C,Ship,5.0,5,242,,medium,2.0,5359.0,0
F,Flight,,3,157,2.0,medium,62.0,1366.0,1
F,Ship,5.0,3,254,6.0,high,7.0,1064.0,0
F,Ship,4.0,1,151,3.0,low,39.0,1458.0,1
F,Flight,4.0,4,208,3.0,high,,4919.0,0
D,Ship,5.0,3,241,3.0,high,,5587.0,1
F,Ship,4.0,2,224,3.0,high,9.0,4896.0,0
B,Flight,3.0,4,213,,high,4.0,5481.0,1
A,Road,3.0,4,162,5.0,high,1.0,4240.0,1
