Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
D,Ship,4.0,3,172,3.0,medium,,5434,0
A,Ship,3.0,2,176,2.0,low,2.0,?,0
A,Flight,4.0,4,154,6.0,medium,10.0,4361,1
A,?,3.0,2,237,2.0,high,,3103,1
F,Ship,4.0,1,220,3.0,high,2.0,3886,1
B,Ship,,5,196,2.0,medium,,5505,0
F,Road,2.0,3,194,4.0,medium,,3795,1
A,Ship,4.0,1,151,,high,,1148,1
F,Ship,4.0,1,178,2.0,high,39.0,1362,1
F,Ship,4.0,5,274,2.0,low,2.0,4492,1
F,Ship,,3,196,,high,,5709,1
F,?,3.0,4,204,2.0,low,10.0,5844,1
F,Ship,5.0,2,139,3.0,low,,5920,0
D,Ship,4.0,3,177,3.0,low,,5282,0
B,Ship,,5,212,3.0,medium,,4411,1
F,Road,,3,283,7.0,high,1.0,?,1
A,Ship,6.0,4,249,,low,,1318,0
F,Ship,3.0,1,154,,medium,56.0,1300,1
A,Ship,3.0,3,253,3.0,medium,5.0,4754,1
A,Road,5.0,5,271,,high,,4547,1
C,Road,5.0,4,228,5.0,low,,1844,0
D,Road,4.0,1,176,3.0,medium,,?,1
F,Ship,,4,222,3.0,low,,5340,0
D,Ship,,3,192,,low,4.0,5524,0
A,Flight,,5,250,4.0,low,8.0,?,0
A,Road,5.0,3,213,4.0,medium,,2003,1
F,Road,,5,136,2.0,high,1.0,4971,0
C,?,3.0,3,262,2.0,medium,,5032,0
B,Ship,,4,228,,medium,5.0,4974,1
C,Ship,4.0,3,274,2.0,low,,4762,0
B,Ship,6.0,4,299,4.0,low,9.0,1817,0
F,Ship,3.0,2,100,4.0,low,,5163,0
A,Ship,2.0,5,117,3.0,low,44.0,1192,1
C,Road,5.0,3,257,5.0,medium,,1981,1
C,Ship,7.0,5,293,4.0,low,,1080,1
F,Ship,3.0,4,271,2.0,low,14.0,2163,1
C,Ship,,3,255,2.0,low,,5955,1
D,Ship,3.0,2,220,3.0,medium,,4148,0
F,Ship,3.0,3,237,,low,,5761,0
F,Ship,3.0,4,155,2.0,low,3.0,5481,1
B,Ship,5.0,5,232,3.0,low,,5338,0
D,Road,3.0,4,260,5.0,low,2.0,4461,0
D,?,4.0,1,183,,low,3.0,5178,1
A,Ship,7.0,1,291,4.0,medium,1.0,1796,0
F,Ship,3.0,5,177,4.0,high,9.0,5311,0
B,Ship,4.0,2,260,3.0,low,,5504,1
F,Flight,5.0,1,228,5.0,low,7.0,1818,0
D,Road,3.0,3,172,3.0,medium,42.0,1707,1
A,Flight,5.0,4,233,,low,,4597,1
B,Ship,5.0,2,145,6.0,medium,,?,0
D,Ship,,1,249,2.0,medium,,5190,1
C,Ship,3.0,3,214,2.0,low,21.0,3342,1
B,Ship,5.0,5,150,,medium,61.0,1091,1
F,Road,6.0,4,287,4.0,medium,9.0,1936,1
C,Ship,3.0,3,133,6.0,low,,1686,1
B,Ship,4.0,1,151,2.0,low,,1367,1
F,Ship,5.0,5,232,3.0,low,,4545,1
D,Flight,,1,231,6.0,medium,,?,1
B,Ship,5.0,3,145,3.0,medium,,5783,1
C,Ship,4.0,3,154,3.0,low,,1101,1
F,Ship,,3,308,5.0,medium,10.0,1152,1
A,Flight,6.0,5,276,4.0,low,,1319,0
B,Road,5.0,3,267,6.0,low,10.0,1027,0
F,Ship,,5,135,3.0,medium,6.0,5266,1
D,Ship,3.0,3,187,6.0,low,2.0,4549,0
B,Ship,3.0,5,219,3.0,low,54.0,3145,1
B,Road,,5,227,5.0,medium,,1436,1
F,Ship,3.0,2,160,3.0,low,,4683,0
C,Ship,4.0,2,213,,low,,2184,1
D,Ship,2.0,1,192,,low,,4774,0
B,Ship,4.0,1,155,,low,4.0,4397,0
C,Ship,4.0,2,200,3.0,medium,7.0,4323,0
A,Flight,5.0,2,224,4.0,medium,43.0,?,1
F,Ship,,5,287,5.0,high,1.0,5263,1
A,Ship,7.0,3,267,4.0,medium,10.0,1548,0
B,Ship,5.0,4,214,,low,52.0,3403,1
F,Ship,,1,125,4.0,low,,4097,1
A,Ship,4.0,3,214,2.0,low,,2078,1
D,Ship,4.0,2,166,5.0,low,,4493,0
A,Ship,6.0,5,268,4.0,medium,,1462,0
F,Ship,5.0,5,243,6.0,medium,9.0,4587,0
F,Road,4.0,4,238,4.0,high,,5702,1
B,Ship,6.0,4,291,,low,,1327,0
B,Flight,,4,227,2.0,low,,5706,1
F,Ship,4.0,3,274,3.0,medium,,4276,0
F,Ship,,5,261,10.0,low,,5208,0
F,Road,4.0,2,223,,medium,3.0,1395,1
F,Ship,4.0,1,246,6.0,low,,1489,0
A,Ship,3.0,5,171,3.0,low,49.0,1333,1
C,Flight,6.0,1,279,4.0,low,4.0,1263,1
D,Road,3.0,1,267,4.0,medium,,4914,1
C,Flight,5.0,2,255,5.0,medium,4.0,1634,0
A,Ship,4.0,5,157,2.0,medium,1.0,5054,0
B,?,6.0,2,288,4.0,medium,,1405,1
A,Ship,3.0,4,263,3.0,medium,2.0,5741,1
D,Road,,4,151,4.0,medium,1.0,4587,1
B,Ship,4.0,4,263,2.0,medium,,3955,1
F,Ship,3.0,2,251,,high,,4038,0
F,Ship,,2,103,4.0,medium,,?,1
C,Road,3.0,4,160,3.0,low,,4602,0
C,Ship,6.0,5,264,4.0,medium,,1922,1
C,Ship,2.0,3,198,2.0,medium,,1996,0
F,Ship,5.0,5,231,,medium,,5361,0
F,Ship,,2,253,5.0,medium,,1092,0
D,?,4.0,2,210,3.0,low,5.0,4746,0
F,Road,3.0,2,180,2.0,high,10.0,4024,0
A,Ship,3.0,5,252,3.0,low,,3701,1
B,Ship,5.0,2,192,,high,7.0,5695,1
A,Ship,4.0,3,228,3.0,medium,,5408,1
A,Flight,5.0,4,190,2.0,medium,23.0,?,1
F,Ship,4.0,4,184,3.0,medium,,5381,0
B,Ship,4.0,2,274,2.0,low,10.0,4361,0
F,Ship,,2,133,3.0,medium,10.0,5803,0
B,Ship,,3,202,4.0,low,6.0,5107,0
C,Ship,3.0,4,253,3.0,low,,3788,1
A,Ship,4.0,2,264,,low,10.0,5137,1
C,Ship,4.0,2,168,2.0,medium,,5154,0
A,Road,3.0,5,156,4.0,low,6.0,1015,0
A,Ship,3.0,1,214,3.0,medium,2.0,4958,0
C,Ship,,5,278,4.0,high,6.0,1761,0
B,Ship,,4,239,,medium,,5455,1
A,Ship,,1,257,,high,,1323,0
F,Flight,5.0,4,206,3.0,low,53.0,2182,1
F,Ship,4.0,1,221,5.0,medium,,3075,1
F,Ship,2.0,5,154,3.0,?,21.0,1113,1
F,?,7.0,1,290,,low,,1885,0
F,Road,5.0,1,173,4.0,medium,,4615,0
A,Ship,4.0,2,139,3.0,low,,1365,1
F,Flight,3.0,1,162,3.0,medium,,1417,1
F,Road,6.0,3,297,4.0,medium,2.0,1520,1
A,Ship,4.0,4,247,2.0,medium,9.0,5095,0
D,?,4.0,1,273,3.0,medium,,3717,1
F,Flight,,1,226,,low,,3077,1
B,Flight,,2,173,3.0,medium,,5128,0
F,Flight,5.0,4,142,,low,8.0,5468,1
A,Ship,5.0,3,245,3.0,medium,,5663,0
B,Flight,,5,148,2.0,medium,,?,0
C,Ship,4.0,2,271,3.0,medium,4.0,4743,1
F,Flight,6.0,4,258,4.0,low,7.0,1726,1
A,Flight,7.0,4,267,,medium,,1378,1
F,Ship,6.0,5,113,3.0,high,35.0,1402,1
A,Ship,3.0,5,157,3.0,low,,5100,0
B,Ship,3.0,4,216,,medium,,5651,0
A,Ship,3.0,4,198,2.0,medium,20.0,2266,1
A,Ship,7.0,5,268,,medium,9.0,1754,1
A,Road,6.0,4,282,4.0,low,,1580,0
C,Ship,,1,239,,high,16.0,?,1
C,Ship,3.0,2,154,,high,8.0,5811,1
C,Ship,4.0,3,220,3.0,low,6.0,4894,1
C,Ship,4.0,2,220,2.0,low,6.0,5543,0
A,Road,6.0,4,143,,medium,4.0,4401,0
C,Road,6.0,1,302,,low,1.0,1622,1
F,Ship,4.0,3,201,3.0,low,,3641,1
A,Ship,4.0,3,207,2.0,medium,,4286,0
F,?,5.0,2,186,3.0,medium,15.0,2153,1
C,Road,6.0,5,285,4.0,medium,5.0,1631,1
D,Ship,5.0,1,238,6.0,low,,1192,0
D,Flight,,2,217,3.0,low,,2999,1
D,Ship,5.0,5,189,5.0,low,,5254,1
B,Ship,5.0,5,219,3.0,medium,,3430,1
D,Ship,3.0,5,196,,high,,4569,0
B,Ship,4.0,2,258,3.0,high,10.0,4643,1
F,Ship,4.0,4,177,7.0,low,,5646,1
F,Ship,,3,266,2.0,low,61.0,2118,1
A,Road,3.0,5,139,,low,2.0,5839,0
F,Road,3.0,5,232,2.0,high,,5146,0
C,Ship,3.0,4,184,3.0,low,7.0,?,0
F,Ship,5.0,2,192,7.0,medium,,4045,1
A,Flight,6.0,5,267,4.0,low,,1550,0
B,Ship,,4,260,2.0,low,,5801,0
C,Road,,4,229,5.0,low,3.0,1861,1
F,Flight,,2,211,3.0,medium,8.0,4962,0
B,Road,4.0,1,258,3.0,medium,36.0,2211,1
B,Ship,4.0,4,209,8.0,medium,46.0,3345,1
B,Ship,6.0,3,304,,medium,10.0,1254,1
F,Ship,5.0,3,216,,low,,2146,1
C,Flight,5.0,3,272,2.0,low,,5112,0
B,Ship,,3,252,2.0,medium,,1809,0
B,?,6.0,5,261,4.0,low,,1266,1
A,Ship,,5,301,4.0,low,,1727,0
D,Ship,3.0,3,158,2.0,low,4.0,5960,0
F,Ship,6.0,4,304,,low,,1749,0
D,Road,3.0,1,258,4.0,medium,,?,1
F,Ship,4.0,2,96,3.0,low,22.0,?,1
A,Ship,3.0,3,158,2.0,low,,4061,1
F,Road,5.0,2,249,6.0,low,8.0,1170,1
C,Ship,4.0,2,233,2.0,low,,5546,1
A,Ship,3.0,3,203,3.0,medium,4.0,5548,0
F,Ship,4.0,4,207,2.0,medium,,2596,1
B,Ship,,2,294,4.0,low,,1318,1
D,Ship,5.0,5,264,6.0,high,,4644,1
F,Road,6.0,3,171,3.0,low,1.0,4952,0
A,Ship,,5,157,4.0,low,,4344,1
F,Ship,4.0,5,182,2.0,medium,10.0,5098,1
A,Ship,4.0,2,149,3.0,medium,,1863,1
D,Ship,4.0,4,188,3.0,low,,5720,0
B,Ship,4.0,4,240,3.0,low,,3478,1
A,Ship,,1,186,3.0,low,6.0,4758,0
D,Flight,3.0,3,155,3.0,medium,,5464,0
C,Ship,,1,204,2.0,low,,5795,0
A,Ship,,5,194,,low,,2256,1
F,?,5.0,5,165,2.0,low,,4005,1
C,Ship,4.0,2,258,3.0,medium,,4977,1
C,Ship,,5,265,4.0,low,8.0,5087,1
C,Road,3.0,4,231,,high,6.0,4452,0
C,Ship,,4,219,6.0,low,3.0,1098,0
B,Road,4.0,5,180,,medium,,5622,0
B,Road,7.0,5,291,4.0,high,6.0,1135,0
C,Flight,4.0,5,221,3.0,low,6.0,?,0
F,Ship,,1,275,5.0,low,,1062,0
C,Road,4.0,5,206,3.0,medium,5.0,5785,1
A,?,5.0,5,161,3.0,low,5.0,4702,0
F,Road,2.0,2,145,3.0,medium,5.0,?,1
F,Ship,5.0,3,245,5.0,low,,1937,0
C,Ship,3.0,2,177,2.0,medium,4.0,4417,0
B,Ship,4.0,1,155,3.0,low,4.0,5666,0
B,Ship,6.0,2,294,4.0,low,,1625,1
B,Road,3.0,1,166,2.0,medium,9.0,5853,1
B,Road,2.0,3,225,7.0,high,,4009,1
A,Ship,5.0,4,200,3.0,medium,,2078,1
F,Ship,5.0,3,141,2.0,medium,10.0,4651,0
F,?,4.0,2,233,4.0,high,1.0,?,0
F,Ship,3.0,1,251,3.0,medium,,2240,1
D,Ship,3.0,3,242,,low,51.0,3935,1
D,Flight,3.0,5,162,2.0,low,4.0,4495,0
B,Ship,7.0,1,308,4.0,medium,,1841,1
C,Road,4.0,4,196,5.0,high,,4622,0
C,Ship,5.0,3,135,3.0,high,,5858,0
F,Flight,5.0,4,266,5.0,medium,,?,1
A,Road,5.0,2,155,3.0,low,,4485,1
F,Road,4.0,4,218,,medium,8.0,5101,1
B,Road,4.0,5,185,2.0,low,6.0,4610,0
D,Ship,4.0,4,255,6.0,low,,1430,1
F,Ship,,3,242,5.0,low,,1846,1
C,Ship,,4,306,4.0,low,5.0,1703,1
B,Road,4.0,2,229,,medium,5.0,1689,0
B,Ship,3.0,5,202,2.0,medium,8.0,4552,1
C,Ship,,2,150,2.0,medium,,5264,0
D,Ship,5.0,2,173,,medium,4.0,5363,0
F,Ship,4.0,5,237,2.0,medium,60.0,3427,1
C,Ship,3.0,1,234,3.0,high,,2596,1
C,Ship,4.0,3,197,,low,,4410,0
C,Ship,5.0,4,216,2.0,low,,4535,0
B,Ship,5.0,3,240,5.0,low,6.0,1489,0
B,Ship,4.0,1,143,2.0,medium,,1996,1
B,Road,,1,260,3.0,low,9.0,4239,0
F,Road,,5,190,4.0,medium,12.0,2947,1
D,Road,3.0,2,250,3.0,medium,4.0,?,0
F,Ship,6.0,3,278,4.0,medium,,1716,0
D,Ship,3.0,5,270,6.0,medium,9.0,4195,0
F,Ship,3.0,5,275,3.0,low,6.0,5148,0
C,Flight,5.0,2,171,,high,34.0,1029,1
A,?,4.0,3,280,6.0,high,8.0,4525,0
F,Ship,4.0,2,147,2.0,medium,20.0,1387,1
D,Ship,4.0,2,227,5.0,medium,6.0,?,0
B,Road,4.0,2,239,2.0,medium,9.0,4360,0
C,Flight,3.0,2,224,3.0,medium,,5343,1
F,Ship,,4,222,3.0,low,,5819,0
F,Ship,,5,263,,low,,2267,1
C,Ship,5.0,2,252,3.0,low,,5058,0
F,Road,3.0,2,263,3.0,low,,?,1
D,Ship,5.0,3,223,3.0,low,,4671,1
F,Ship,5.0,1,235,,low,27.0,2451,1
F,Ship,4.0,4,222,2.0,low,,5660,0
B,Ship,7.0,3,267,,low,7.0,1384,0
C,Road,3.0,4,167,3.0,medium,50.0,?,1
F,Ship,5.0,1,248,8.0,low,2.0,4023,1
A,?,4.0,2,225,2.0,low,6.0,2010,1
D,Ship,2.0,4,153,2.0,medium,57.0,1264,1
F,Road,,5,133,3.0,medium,3.0,1403,1
D,Ship,4.0,2,185,,medium,,?,0
F,Road,5.0,4,263,2.0,medium,,4595,0
C,Ship,,2,243,,medium,8.0,4093,0
F,Flight,5.0,3,254,2.0,medium,5.0,4764,1
F,Flight,3.0,3,153,2.0,low,,1328,1
A,Ship,4.0,5,273,3.0,low,,5043,1
C,Ship,4.0,2,192,3.0,low,3.0,4130,1
F,Ship,,5,202,3.0,medium,46.0,3181,1
B,Ship,4.0,5,243,3.0,low,9.0,5263,0
A,Road,5.0,2,196,3.0,medium,44.0,2085,1
F,?,4.0,1,163,,low,3.0,4099,1
D,Ship,,1,153,3.0,low,10.0,5121,1
D,Ship,3.0,1,273,6.0,low,9.0,1198,1
B,Road,,2,268,10.0,medium,,4483,0
D,Ship,,1,232,5.0,low,,1427,0
D,Road,,5,170,,low,10.0,5621,1
B,Ship,,3,210,,medium,,?,1
F,Flight,,3,158,2.0,medium,7.0,4865,0
B,Ship,5.0,2,284,4.0,low,1.0,4171,1
F,Ship,6.0,3,260,,low,1.0,1775,0
C,Flight,3.0,2,273,3.0,high,8.0,5754,1
A,Ship,4.0,5,140,3.0,medium,,4956,0
C,Ship,4.0,2,247,3.0,medium,64.0,?,1
C,Ship,3.0,3,154,4.0,medium,7.0,1915,0
F,Ship,6.0,3,244,3.0,medium,4.0,?,1
F,Ship,5.0,2,140,,medium,,1521,0
A,Ship,6.0,5,251,4.0,medium,,1660,0
D,Ship,4.0,5,147,,medium,19.0,1940,1
F,Road,6.0,4,272,2.0,low,7.0,4145,0
D,Ship,3.0,1,200,2.0,medium,,2551,1
A,Road,4.0,5,105,5.0,high,,5824,1
F,Ship,,1,247,2.0,medium,,5098,0
F,Ship,5.0,2,280,4.0,low,8.0,4539,1
C,Flight,3.0,5,182,,medium,,3595,1
F,Ship,5.0,2,244,6.0,low,,1702,1
F,Flight,5.0,4,182,,medium,,?,1
D,Road,4.0,2,261,5.0,medium,5.0,1073,1
F,Flight,5.0,2,244,6.0,low,7.0,1315,0
D,Ship,6.0,5,256,4.0,low,2.0,1163,0
A,Ship,4.0,2,233,5.0,low,8.0,1097,0
F,Ship,4.0,2,280,4.0,low,,5288,1
F,Ship,,5,222,,medium,2.0,4425,0
F,Ship,5.0,2,285,4.0,medium,,1666,1
C,Ship,5.0,5,162,4.0,low,,1311,0
C,Ship,3.0,1,238,,low,,5158,0
F,Road,5.0,5,132,3.0,low,,4195,1
F,Ship,6.0,5,304,4.0,low,,1755,1
F,Ship,3.0,4,145,4.0,high,,5801,0
A,Ship,5.0,4,275,2.0,medium,,5395,1
A,Ship,4.0,2,216,3.0,low,10.0,4636,0
C,Ship,,2,191,2.0,high,,2059,1
F,Ship,2.0,1,209,5.0,low,,2016,1
F,Ship,5.0,3,239,,low,,3734,1
A,Ship,4.0,1,251,3.0,low,,2502,1
F,Ship,4.0,3,220,3.0,medium,8.0,3342,1
C,Flight,5.0,4,180,2.0,low,52.0,1122,1
A,Ship,3.0,1,155,3.0,medium,7.0,5709,0
F,Ship,3.0,2,140,2.0,low,16.0,1685,1
F,?,3.0,4,208,,medium,,2100,1
C,Flight,,5,260,3.0,low,,4331,0
B,Flight,3.0,3,158,3.0,low,,5502,0
F,Ship,4.0,4,151,2.0,low,,1001,1
C,Ship,4.0,4,211,3.0,medium,,4812,0
A,Road,,4,204,4.0,medium,35.0,2513,1
A,Ship,,3,281,,?,,1884,0
B,Ship,5.0,1,234,3.0,medium,40.0,3340,1
F,Flight,3.0,2,115,3.0,low,,1814,1
B,Ship,,1,238,4.0,medium,,?,0
F,Ship,2.0,4,268,,low,,4400,1
F,Road,3.0,3,265,3.0,medium,,5241,0
D,Road,4.0,5,239,2.0,medium,,4247,0
C,Ship,,5,181,4.0,low,,5812,0
B,Ship,5.0,5,248,,low,4.0,5587,0
A,Ship,5.0,3,113,3.0,medium,5.0,4743,0
F,Ship,5.0,3,245,5.0,low,10.0,1112,0
F,Ship,3.0,1,268,3.0,low,2.0,4746,1
D,Ship,3.0,5,223,4.0,low,,3938,1
F,Ship,3.0,3,101,2.0,medium,,4860,0
D,Ship,3.0,3,242,,medium,8.0,5915,1
D,Ship,5.0,3,210,3.0,low,5.0,4560,1
D,Ship,4.0,4,145,3.0,medium,8.0,5780,0
F,Flight,5.0,4,182,4.0,low,,3063,1
F,Ship,,2,244,3.0,high,,5781,1
D,Flight,6.0,2,291,4.0,low,8.0,1019,0
B,Ship,6.0,3,274,6.0,medium,2.0,4281,0
B,Ship,3.0,5,150,,low,,1256,1
F,Ship,3.0,3,167,4.0,medium,1.0,5301,0
D,Ship,5.0,1,257,5.0,medium,,1619,0
A,Road,4.0,4,206,3.0,low,,5572,1
B,Ship,6.0,5,161,,medium,,1338,1
B,Ship,5.0,2,216,4.0,medium,9.0,5804,0
B,Ship,,4,247,2.0,low,2.0,4975,1
B,Ship,4.0,5,157,3.0,medium,2.0,4343,1
C,Ship,,4,209,3.0,medium,,3026,1
C,Flight,4.0,2,142,,medium,,4918,0
D,Flight,3.0,2,220,3.0,low,,5032,1
F,Ship,7.0,4,287,4.0,low,9.0,?,1
A,Ship,,3,154,3.0,medium,10.0,1711,1
D,Flight,,1,242,3.0,medium,35.0,?,1
D,Ship,3.0,4,227,4.0,low,,5465,0
F,Ship,4.0,3,272,,medium,,?,1
A,Road,3.0,3,218,4.0,medium,,1678,1
D,Ship,4.0,2,183,3.0,low,5.0,3716,1
B,Flight,4.0,2,167,2.0,low,5.0,1169,1
A,Flight,5.0,1,172,2.0,medium,,?,0
A,Ship,4.0,1,253,,medium,9.0,5502,1
B,Ship,,3,200,4.0,low,10.0,4291,1
B,Ship,3.0,1,165,3.0,medium,61.0,1313,1
B,Ship,4.0,2,252,3.0,medium,,5769,0
B,Ship,5.0,1,198,4.0,low,,5719,0
C,?,5.0,4,196,,medium,,5427,1
D,?,4.0,1,184,3.0,low,8.0,4667,0
B,Ship,2.0,3,147,3.0,low,,5013,0
F,Ship,5.0,1,203,5.0,medium,2.0,4845,0
F,Road,2.0,2,160,,medium,9.0,4613,0
B,Ship,4.0,5,248,2.0,medium,10.0,4366,1
F,Flight,,2,119,2.0,low,32.0,1791,1
F,Ship,4.0,3,206,3.0,medium,20.0,2247,1
B,Flight,3.0,4,180,6.0,medium,3.0,5605,0
B,Ship,,2,151,3.0,medium,8.0,?,1
B,Ship,3.0,4,172,,low,,?,1
D,Ship,2.0,3,139,3.0,low,,1788,1
B,Road,3.0,5,264,6.0,low,,2751,1
D,Ship,3.0,1,133,3.0,low,,5213,1
D,Ship,,2,180,3.0,medium,1.0,4655,1
C,Ship,4.0,3,226,2.0,low,32.0,2912,1
D,Flight,,1,261,,medium,,5600,1
F,Ship,4.0,4,163,3.0,medium,7.0,4463,0
F,Ship,4.0,4,232,4.0,low,,3436,1
B,Ship,4.0,5,240,2.0,medium,6.0,5045,1
A,Ship,5.0,5,238,,low,3.0,1965,1
A,Ship,6.0,2,247,4.0,medium,,1941,0
C,Ship,4.0,4,187,3.0,low,8.0,4893,0
F,Road,3.0,1,146,10.0,low,,4032,1
B,Ship,5.0,5,228,4.0,low,,4946,1
D,Flight,,1,179,2.0,high,,5301,1
D,Flight,,1,198,4.0,low,,5025,1
F,Road,3.0,4,284,10.0,low,,4562,1
B,Ship,4.0,2,184,3.0,medium,,5931,1
A,Flight,4.0,5,259,2.0,?,,2381,1
A,Ship,4.0,4,254,,low,2.0,1573,1
F,Flight,4.0,1,222,2.0,low,10.0,4714,1
F,Road,,4,153,2.0,low,,4248,0
B,Ship,,4,279,4.0,low,,1246,1
C,Ship,6.0,4,261,4.0,low,,1794,1
F,Flight,4.0,4,143,,medium,,1326,1
F,Ship,,5,275,3.0,medium,,4287,1
C,Ship,2.0,1,142,3.0,medium,8.0,6064,1
A,Ship,5.0,2,144,3.0,low,,1202,1
C,?,,3,228,2.0,high,,4719,1
A,Road,5.0,1,242,5.0,low,9.0,1767,0
B,Road,4.0,5,254,3.0,low,,3885,1
A,Flight,3.0,5,161,3.0,low,,5629,0
B,?,,4,146,10.0,low,,4351,0
F,Ship,5.0,2,243,2.0,?,,3681,1
A,?,4.0,1,251,2.0,low,2.0,4839,1
A,Ship,2.0,2,135,,low,58.0,1734,1
B,Ship,3.0,3,147,3.0,low,16.0,1563,1
C,Ship,5.0,3,264,5.0,medium,,1399,0
C,Ship,,3,246,3.0,medium,,2440,1
F,Flight,3.0,5,257,3.0,medium,4.0,5196,1
D,Ship,5.0,5,182,3.0,medium,10.0,5060,0
B,Ship,5.0,2,174,2.0,medium,54.0,?,1
F,?,3.0,5,195,2.0,?,9.0,5832,0
F,Flight,4.0,1,152,3.0,medium,3.0,4250,1
F,Ship,7.0,5,255,4.0,low,2.0,1826,1
C,Ship,5.0,3,230,4.0,medium,,5278,1
C,Ship,7.0,1,285,4.0,low,2.0,1516,0
A,Ship,7.0,3,255,4.0,medium,,1373,0
C,Flight,7.0,3,307,4.0,low,1.0,1793,1
A,Ship,6.0,4,268,,medium,,4126,1
B,Road,4.0,2,278,6.0,low,36.0,2330,1
C,Ship,3.0,5,267,2.0,medium,,4703,0
F,?,5.0,5,137,,low,,5888,0
F,Road,5.0,1,145,3.0,low,20.0,1387,1
F,Ship,3.0,4,164,6.0,medium,4.0,5567,1
F,?,,3,268,3.0,low,,5998,0
A,Ship,4.0,2,242,3.0,medium,10.0,4721,0
F,Road,2.0,4,160,3.0,low,,1030,1
F,Ship,,2,227,2.0,high,35.0,3583,1
F,Ship,4.0,3,131,5.0,low,6.0,1659,1
C,Ship,3.0,5,196,,low,5.0,4891,0
F,Ship,,3,211,3.0,medium,,3296,1
F,Ship,4.0,4,158,2.0,medium,15.0,1030,1
B,Flight,5.0,4,242,,high,2.0,3564,1
A,Ship,5.0,3,248,3.0,medium,10.0,5567,1
A,Ship,,5,133,3.0,medium,21.0,1648,1
F,Ship,,1,256,2.0,medium,63.0,?,1
C,Road,3.0,5,242,2.0,low,,5635,0
B,Ship,3.0,2,192,3.0,low,,3183,1
C,?,5.0,5,226,3.0,medium,65.0,3840,1
D,Ship,3.0,2,214,,medium,1.0,5362,0
F,Ship,,4,212,2.0,medium,5.0,4774,1
A,Ship,7.0,3,307,4.0,low,,1653,0
D,Flight,3.0,5,198,3.0,?,1.0,3667,1
D,Ship,4.0,1,193,,low,,4796,0
F,Ship,,2,232,,medium,3.0,1500,0
C,Ship,5.0,3,156,4.0,low,9.0,4098,0
D,Road,6.0,3,271,4.0,low,2.0,1364,1
F,Ship,6.0,5,275,4.0,low,,1700,1
D,Ship,,5,218,2.0,low,,5142,0
C,Ship,5.0,4,254,5.0,low,,1350,0
C,Ship,6.0,5,201,5.0,medium,,5771,0
D,Ship,5.0,5,235,3.0,low,4.0,5325,0
B,Ship,,3,235,,low,5.0,3065,1
B,Road,4.0,5,219,5.0,low,,1260,0
C,Ship,,1,193,10.0,high,1.0,4459,0
F,Road,4.0,5,179,3.0,low,,4487,0
C,Ship,6.0,1,264,4.0,low,,1960,0
D,Flight,,5,299,4.0,low,,1192,0
F,Ship,4.0,3,217,3.0,medium,16.0,3444,1
D,Flight,5.0,3,266,3.0,low,19.0,2508,1
B,Flight,6.0,4,303,5.0,low,,1195,1
F,?,,2,257,2.0,medium,,4242,1
F,Flight,4.0,1,196,3.0,medium,,5216,1
B,Ship,5.0,1,264,3.0,low,,2882,1
D,Ship,4.0,3,196,3.0,low,,4194,1
F,Ship,,2,149,2.0,medium,8.0,5396,0
C,Road,4.0,3,256,,low,5.0,1533,1
D,Ship,4.0,4,266,6.0,low,2.0,1776,1
F,Road,,1,180,6.0,low,,4802,1
A,Ship,2.0,5,127,3.0,low,,1341,1
C,Road,3.0,4,196,2.0,medium,5.0,4342,1
A,Ship,2.0,5,139,3.0,low,,1233,1
C,Ship,,2,242,3.0,medium,,4644,1
F,Ship,4.0,3,189,2.0,low,,4765,0
D,Road,5.0,3,271,,high,9.0,1813,1
F,Ship,3.0,5,286,,medium,,4424,0
A,Ship,,2,152,4.0,low,48.0,1212,1
B,Ship,,3,188,,medium,2.0,4336,0
B,Ship,7.0,2,285,4.0,low,,1491,1
D,Ship,,2,157,2.0,low,,1115,1
A,Ship,4.0,4,257,10.0,?,4.0,4710,0
C,Road,4.0,4,229,5.0,low,9.0,1361,0
F,Ship,4.0,4,136,,low,,1900,1
D,Ship,,1,238,2.0,medium,,4355,1
B,Road,3.0,5,159,2.0,high,9.0,4099,1
D,?,6.0,4,264,5.0,medium,,1220,1
F,Road,,3,259,2.0,high,,4481,0
D,Ship,4.0,3,169,10.0,medium,6.0,5106,1
C,Flight,6.0,5,252,4.0,low,2.0,1249,0
F,Ship,,3,270,3.0,high,,4690,1
D,Ship,,5,162,,medium,10.0,4850,1
D,Ship,5.0,2,213,3.0,low,,5526,0
D,Ship,3.0,3,217,3.0,low,6.0,4887,0
B,Ship,4.0,1,232,5.0,medium,,1899,1
F,Ship,,5,265,,medium,,4268,1
D,Flight,3.0,2,138,2.0,medium,8.0,5714,0
F,Ship,3.0,3,145,3.0,low,10.0,5696,0
D,Ship,,3,133,5.0,medium,,1367,1
D,Road,4.0,5,181,3.0,medium,1.0,5310,0
B,Ship,5.0,1,246,,medium,,3993,1
B,Ship,5.0,1,167,3.0,medium,,4267,1
B,Flight,3.0,4,184,,medium,2.0,4052,0
B,Road,3.0,2,140,2.0,high,7.0,1401,1
A,Ship,3.0,1,165,,low,6.0,4445,0
D,Ship,4.0,1,258,3.0,medium,,4159,0
D,Ship,3.0,4,166,3.0,medium,,1095,1
