Cost_of_the_Product,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product_importance_low
142,10.0,4234,0,0
249,10.0,4129,1,0
250,9.0,4753,0,0
202,9.0,4322,0,0
213,10.0,5214,1,0
235,10.0,3451,1,0
143,1.0,5165,1,0
261,10.0,1397,1,0
258,8.0,4046,1,0
229,1.0,4869,0,0
304,6.0,1184,0,0
198,2.0,5316,0,0
251,8.0,4190,1,0
152,10.0,5764,1,0
185,4.0,4746,0,0
143,39.0,1367,1,1
246,10.0,1367,1,0
163,10.0,1639,1,0
191,10.0,2353,1,1
250,10.0,4028,1,0
267,8.0,1367,0,0
185,10.0,3299,1,0
212,10.0,5022,0,0
134,10.0,1278,1,0
209,6.0,5899,1,0
225,10.0,4304,1,1
183,10.0,4531,0,0
136,10.0,5749,0,0
181,10.0,1367,1,0
178,10.0,5727,1,0
143,4.0,4512,0,0
254,10.0,4148,0,0
180,10.0,1367,0,0
238,10.0,5369,1,1
263,10.0,1789,1,0
264,10.0,4426,0,0
274,10.0,3332,1,0
237,10.0,2573,1,1
263,10.0,1181,0,0
265,10.0,1937,1,0
159,9.0,4214,0,0
223,5.0,4424,1,0
170,39.0,1868,1,0
227,6.0,1620,0,0
187,6.0,3625,1,0
175,10.0,5471,1,0
135,5.0,4484,0,0
205,10.0,5876,0,0
206,10.0,4635,0,0
238,2.0,1657,0,0
263,24.0,3139,1,0
167,3.0,4722,1,0
269,8.0,1341,0,0
243,8.0,1922,0,0
211,10.0,4908,0,0
259,10.0,2154,1,0
177,6.0,5037,1,0
233,10.0,4976,1,0
176,1.0,5292,0,0
206,10.0,1367,1,0
273,10.0,5756,1,0
238,10.0,4337,1,0
109,4.0,4308,0,0
287,9.0,5308,0,0
185,47.0,2467,1,0
248,10.0,5703,0,0
233,3.0,4748,0,0
232,9.0,5759,0,0
268,10.0,4721,1,0
211,7.0,4083,1,0
201,3.0,5901,1,0
118,6.0,1726,1,0
226,10.0,1348,1,0
158,4.0,4324,0,0
307,10.0,1371,1,0
137,10.0,4854,1,0
261,10.0,5206,1,0
229,3.0,4916,0,0
296,10.0,1230,1,0
242,10.0,1367,1,1
141,10.0,1915,1,0
183,10.0,1158,1,0
187,10.0,3725,1,1
251,28.0,3936,1,0
257,7.0,1090,0,0
186,10.0,5592,1,0
184,10.0,4429,0,0
217,4.0,1367,0,0
173,2.0,5327,0,0
170,6.0,4998,0,0
251,10.0,4252,0,0
182,10.0,4746,1,0
252,10.0,1847,1,0
217,10.0,5518,0,0
194,4.0,4003,0,0
165,10.0,4819,1,0
165,10.0,1150,1,0
173,10.0,4634,0,0
190,10.0,4020,1,0
180,6.0,5579,0,0
244,10.0,5696,0,0
269,10.0,1826,0,0
126,2.0,5461,0,0
227,10.0,2707,1,0
245,10.0,4660,0,0
289,3.0,1037,1,0
252,10.0,1538,1,0
212,10.0,1284,1,0
274,10.0,4292,1,0
211,8.0,5191,1,1
168,1.0,5698,1,0
154,10.0,5540,1,0
193,10.0,4799,1,0
146,10.0,4831,1,0
262,10.0,5146,0,0
225,10.0,1310,0,0
253,10.0,4567,0,0
233,10.0,2291,1,0
180,10.0,4010,1,0
260,10.0,1370,0,0
186,10.0,3621,1,0
284,4.0,1652,1,0
241,10.0,4861,1,0
235,10.0,1051,1,0
276,10.0,5302,1,0
233,52.0,3519,1,0
171,10.0,4783,1,0
203,1.0,5244,0,0
224,8.0,4047,1,0
187,10.0,4725,1,0
244,2.0,1980,0,0
222,2.0,4060,0,0
262,2.0,4015,0,0
120,10.0,5537,0,1
192,8.0,3127,1,0
146,3.0,4152,1,0
255,10.0,5632,0,0
214,10.0,4573,1,0
214,10.0,4447,0,0
150,10.0,4742,0,0
189,10.0,2955,1,0
199,2.0,4462,0,0
149,10.0,5456,1,0
192,46.0,3599,1,0
207,56.0,3482,1,0
269,47.0,3033,1,0
301,10.0,1452,1,0
251,3.0,5215,1,0
294,10.0,1667,1,0
247,3.0,4862,1,0
223,10.0,4832,0,0
133,10.0,4677,1,0
261,62.0,3352,1,0
231,10.0,3894,1,0
190,10.0,2563,1,0
199,10.0,5342,0,0
168,10.0,5276,1,0
192,3.0,5173,0,1
215,10.0,1367,1,0
235,10.0,4172,0,1
249,6.0,5212,0,0
150,5.0,1263,1,0
233,10.0,5740,1,0
133,63.0,1218,1,0
234,8.0,5744,0,0
273,6.0,1367,1,0
175,10.0,5445,1,0
208,23.0,2056,1,0
189,3.0,5837,1,0
144,10.0,5867,1,0
135,9.0,1367,0,0
262,10.0,4090,1,0
259,10.0,3720,1,0
184,9.0,5812,0,0
264,10.0,4877,0,0
210,10.0,5932,0,0
96,10.0,1186,1,0
197,10.0,2148,1,0
297,7.0,1383,1,0
153,35.0,1082,1,0
210,1.0,5437,1,0
165,37.0,1234,1,1
216,8.0,5878,1,0
218,6.0,4377,1,0
193,3.0,5919,0,0
220,1.0,5289,0,0
262,10.0,4283,0,0
113,10.0,1154,1,0
264,2.0,4350,0,0
241,5.0,5666,0,0
144,2.0,4316,0,0
158,10.0,5687,1,0
160,5.0,4440,0,0
136,7.0,5976,0,0
154,56.0,1367,1,0
241,3.0,4636,1,0
300,10.0,1179,0,0
137,8.0,4980,1,0
206,2.0,4372,0,0
216,4.0,2263,1,0
301,7.0,1209,1,0
255,10.0,5775,1,0
186,10.0,3722,1,0
235,21.0,3088,1,0
153,10.0,5487,0,0
260,5.0,1952,1,0
213,10.0,4535,1,0
247,3.0,1616,1,0
179,3.0,4584,0,1
236,10.0,4457,0,0
149,6.0,5508,0,0
284,10.0,5619,0,0
282,10.0,1674,0,0
216,2.0,1367,1,0
217,7.0,5910,0,0
269,7.0,2538,1,0
163,10.0,1367,1,0
183,10.0,3199,1,0
275,10.0,1522,1,0
210,9.0,5081,1,0
272,10.0,4459,1,0
147,3.0,5136,1,0
258,11.0,2252,1,1
283,10.0,1311,1,0
256,10.0,5399,0,0
237,5.0,4285,1,0
147,10.0,4350,0,0
239,10.0,1399,0,0
193,2.0,5975,1,0
206,7.0,5479,1,1
135,56.0,1367,1,0
261,8.0,1891,0,0
188,14.0,2074,1,0
179,9.0,4459,1,0
142,10.0,4790,1,0
166,10.0,5905,1,1
188,10.0,2424,1,0
248,7.0,5299,0,0
228,60.0,2715,1,0
161,10.0,5734,0,0
222,10.0,5130,0,0
143,17.0,1955,1,0
274,10.0,1637,1,0
148,10.0,4031,0,0
243,10.0,5082,1,1
250,1.0,4747,0,0
204,35.0,2090,1,0
183,21.0,2585,1,0
172,1.0,1182,1,0
262,46.0,2904,1,0
185,47.0,3974,1,0
197,4.0,4858,1,0
269,6.0,1367,1,0
238,22.0,3950,1,0
266,2.0,5890,0,1
183,15.0,1367,1,0
173,10.0,1691,1,0
264,10.0,5482,1,0
157,10.0,1367,1,0
142,7.0,5346,0,0
212,10.0,2750,1,0
142,29.0,1420,1,0
246,8.0,1741,0,0
133,5.0,5950,0,0
274,10.0,5517,0,1
212,10.0,5761,1,0
245,7.0,4121,0,0
146,10.0,4672,1,0
146,10.0,1367,1,0
139,23.0,1283,1,0
270,1.0,1187,1,0
198,25.0,2774,1,0
192,10.0,4691,0,0
252,10.0,1367,1,0
201,3.0,4797,0,0
224,15.0,2701,1,0
183,12.0,2777,1,0
214,10.0,3416,1,0
263,8.0,1426,1,0
161,38.0,1521,1,0
167,10.0,5250,0,1
152,10.0,5913,1,0
172,56.0,1103,1,0
204,10.0,1367,1,0
173,37.0,1990,1,0
142,10.0,5372,0,0
182,10.0,5579,0,0
189,10.0,4374,0,0
241,10.0,5672,0,0
189,7.0,4869,0,0
195,1.0,4393,1,0
246,3.0,5705,0,0
166,3.0,1367,0,0
158,13.0,1245,1,0
211,10.0,4032,0,0
306,10.0,1261,1,1
303,9.0,1080,0,0
229,10.0,4600,0,0
195,2.0,4008,1,0
225,10.0,5523,1,0
268,10.0,1932,1,0
134,12.0,1775,1,1
172,10.0,5434,0,0
176,2.0,1367,0,0
154,10.0,4361,1,0
237,10.0,3103,1,1
220,2.0,3886,1,1
196,10.0,5505,0,0
194,10.0,3795,1,0
151,10.0,1148,1,1
178,39.0,1362,1,1
274,2.0,4492,1,0
196,10.0,5709,1,1
204,10.0,5844,1,0
139,10.0,5920,0,0
177,10.0,5282,0,0
212,10.0,4411,1,0
283,1.0,1367,1,1
249,10.0,1318,0,0
154,56.0,1300,1,0
253,5.0,4754,1,0
271,10.0,4547,1,1
228,10.0,1844,0,0
176,10.0,1367,1,0
222,10.0,5340,0,0
192,4.0,5524,0,0
250,8.0,1367,0,0
213,10.0,2003,1,0
136,1.0,4971,0,1
262,10.0,5032,0,0
228,5.0,4974,1,0
274,10.0,4762,0,0
299,9.0,1817,0,0
100,10.0,5163,0,0
117,44.0,1192,1,0
257,10.0,1981,1,0
293,10.0,1080,1,0
271,14.0,2163,1,0
255,10.0,5955,1,0
220,10.0,4148,0,0
237,10.0,5761,0,0
155,3.0,5481,1,0
232,10.0,5338,0,0
260,2.0,4461,0,0
183,3.0,5178,1,0
291,1.0,1796,0,0
177,9.0,5311,0,1
260,10.0,5504,1,0
228,7.0,1818,0,0
172,42.0,1707,1,0
233,10.0,4597,1,0
145,10.0,1367,0,0
249,10.0,5190,1,0
214,21.0,3342,1,0
150,61.0,1091,1,0
287,9.0,1936,1,0
133,10.0,1686,1,0
151,10.0,1367,1,0
232,10.0,4545,1,0
231,10.0,1367,1,0
145,10.0,5783,1,0
154,10.0,1101,1,0
308,10.0,1152,1,0
276,10.0,1319,0,0
267,10.0,1027,0,0
135,6.0,5266,1,0
187,2.0,4549,0,0
219,54.0,3145,1,0
227,10.0,1436,1,0
160,10.0,4683,0,0
213,10.0,2184,1,0
192,10.0,4774,0,0
155,4.0,4397,0,0
200,7.0,4323,0,0
224,43.0,1367,1,0
287,1.0,5263,1,1
267,10.0,1548,0,0
214,52.0,3403,1,0
125,10.0,4097,1,0
214,10.0,2078,1,0
166,10.0,4493,0,0
268,10.0,1462,0,0
243,9.0,4587,0,0
238,10.0,5702,1,1
291,10.0,1327,0,0
227,10.0,5706,1,0
274,10.0,4276,0,0
261,10.0,5208,0,0
223,3.0,1395,1,0
246,10.0,1489,0,0
171,49.0,1333,1,0
279,4.0,1263,1,0
267,10.0,4914,1,0
255,4.0,1634,0,0
157,1.0,5054,0,0
288,10.0,1405,1,0
263,2.0,5741,1,0
151,1.0,4587,1,0
263,10.0,3955,1,0
251,10.0,4038,0,1
103,10.0,1367,1,0
160,10.0,4602,0,0
264,10.0,1922,1,0
198,10.0,1996,0,0
231,10.0,5361,0,0
253,10.0,1092,0,0
210,5.0,4746,0,0
180,10.0,4024,0,1
252,10.0,3701,1,0
192,7.0,5695,1,1
228,10.0,5408,1,0
190,23.0,1367,1,0
184,10.0,5381,0,0
274,10.0,4361,0,0
133,10.0,5803,0,0
202,6.0,5107,0,0
253,10.0,3788,1,0
264,10.0,5137,1,0
168,10.0,5154,0,0
156,6.0,1015,0,0
214,2.0,4958,0,0
278,6.0,1761,0,1
239,10.0,5455,1,0
257,10.0,1323,0,1
206,53.0,2182,1,0
221,10.0,3075,1,0
154,21.0,1113,1,0
290,10.0,1885,0,0
173,10.0,4615,0,0
139,10.0,1365,1,0
162,10.0,1417,1,0
297,2.0,1520,1,0
247,9.0,5095,0,0
273,10.0,3717,1,0
226,10.0,3077,1,0
173,10.0,5128,0,0
142,8.0,5468,1,0
245,10.0,5663,0,0
148,10.0,1367,0,0
271,4.0,4743,1,0
258,7.0,1726,1,0
267,10.0,1378,1,0
113,35.0,1402,1,1
157,10.0,5100,0,0
216,10.0,5651,0,0
198,20.0,2266,1,0
268,9.0,1754,1,0
282,10.0,1580,0,0
239,16.0,1367,1,1
154,8.0,5811,1,1
220,6.0,4894,1,0
220,6.0,5543,0,0
143,4.0,4401,0,0
302,1.0,1622,1,0
201,10.0,3641,1,0
207,10.0,4286,0,0
186,15.0,2153,1,0
285,5.0,1631,1,0
238,10.0,1192,0,0
217,10.0,2999,1,0
189,10.0,5254,1,0
219,10.0,3430,1,0
196,10.0,4569,0,1
258,10.0,4643,1,1
177,10.0,5646,1,0
266,61.0,2118,1,0
139,2.0,5839,0,0
232,10.0,5146,0,1
184,7.0,1367,0,0
192,10.0,4045,1,0
267,10.0,1550,0,0
260,10.0,5801,0,0
229,3.0,1861,1,0
211,8.0,4962,0,0
258,36.0,2211,1,0
209,46.0,3345,1,0
304,10.0,1254,1,0
216,10.0,2146,1,0
272,10.0,5112,0,0
252,10.0,1809,0,0
261,10.0,1266,1,0
301,10.0,1727,0,0
158,4.0,5960,0,0
304,10.0,1749,0,0
258,10.0,1367,1,0
96,22.0,1367,1,0
158,10.0,4061,1,0
249,8.0,1170,1,0
233,10.0,5546,1,0
203,4.0,5548,0,0
207,10.0,2596,1,0
294,10.0,1318,1,0
264,10.0,4644,1,1
171,1.0,4952,0,0
157,10.0,4344,1,0
182,10.0,5098,1,0
149,10.0,1863,1,0
188,10.0,5720,0,0
240,10.0,3478,1,0
186,6.0,4758,0,0
155,10.0,5464,0,0
204,10.0,5795,0,0
194,10.0,2256,1,0
165,10.0,4005,1,0
258,10.0,4977,1,0
265,8.0,5087,1,0
231,6.0,4452,0,1
219,3.0,1098,0,0
180,10.0,5622,0,0
291,6.0,1135,0,1
221,6.0,1367,0,0
275,10.0,1062,0,0
206,5.0,5785,1,0
161,5.0,4702,0,0
145,5.0,1367,1,0
245,10.0,1937,0,0
177,4.0,4417,0,0
155,4.0,5666,0,0
294,10.0,1625,1,0
166,9.0,5853,1,0
225,10.0,4009,1,1
200,10.0,2078,1,0
141,10.0,4651,0,0
233,1.0,1367,0,1
251,10.0,2240,1,0
242,51.0,3935,1,0
162,4.0,4495,0,0
308,10.0,1841,1,0
196,10.0,4622,0,1
135,10.0,5858,0,1
266,10.0,1367,1,0
155,10.0,4485,1,0
218,8.0,5101,1,0
185,6.0,4610,0,0
255,10.0,1430,1,0
242,10.0,1846,1,0
306,5.0,1703,1,0
229,5.0,1689,0,0
202,8.0,4552,1,0
150,10.0,5264,0,0
173,4.0,5363,0,0
237,60.0,3427,1,0
234,10.0,2596,1,1
197,10.0,4410,0,0
216,10.0,4535,0,0
240,6.0,1489,0,0
143,10.0,1996,1,0
260,9.0,4239,0,0
190,12.0,2947,1,0
250,4.0,1367,0,0
278,10.0,1716,0,0
270,9.0,4195,0,0
275,6.0,5148,0,0
171,34.0,1029,1,1
280,8.0,4525,0,1
147,20.0,1387,1,0
227,6.0,1367,0,0
239,9.0,4360,0,0
224,10.0,5343,1,0
222,10.0,5819,0,0
263,10.0,2267,1,0
252,10.0,5058,0,0
263,10.0,1367,1,0
223,10.0,4671,1,0
235,27.0,2451,1,0
222,10.0,5660,0,0
267,7.0,1384,0,0
167,50.0,1367,1,0
248,2.0,4023,1,0
225,6.0,2010,1,0
153,57.0,1264,1,0
133,3.0,1403,1,0
185,10.0,1367,0,0
263,10.0,4595,0,0
243,8.0,4093,0,0
254,5.0,4764,1,0
153,10.0,1328,1,0
273,10.0,5043,1,0
192,3.0,4130,1,0
202,46.0,3181,1,0
243,9.0,5263,0,0
196,44.0,2085,1,0
163,3.0,4099,1,0
153,10.0,5121,1,0
273,9.0,1198,1,0
268,10.0,4483,0,0
232,10.0,1427,0,0
170,10.0,5621,1,0
210,10.0,1367,1,0
158,7.0,4865,0,0
284,1.0,4171,1,0
260,1.0,1775,0,0
273,8.0,5754,1,1
140,10.0,4956,0,0
247,64.0,1367,1,0
154,7.0,1915,0,0
244,4.0,1367,1,0
140,10.0,1521,0,0
251,10.0,1660,0,0
147,19.0,1940,1,0
272,7.0,4145,0,0
200,10.0,2551,1,0
105,10.0,5824,1,1
247,10.0,5098,0,0
280,8.0,4539,1,0
182,10.0,3595,1,0
244,10.0,1702,1,0
182,10.0,1367,1,0
261,5.0,1073,1,0
244,7.0,1315,0,0
256,2.0,1163,0,0
233,8.0,1097,0,0
280,10.0,5288,1,0
222,2.0,4425,0,0
285,10.0,1666,1,0
162,10.0,1311,0,0
238,10.0,5158,0,0
132,10.0,4195,1,0
304,10.0,1755,1,0
145,10.0,5801,0,1
275,10.0,5395,1,0
216,10.0,4636,0,0
191,10.0,2059,1,1
209,10.0,2016,1,0
239,10.0,3734,1,0
251,10.0,2502,1,0
220,8.0,3342,1,0
180,52.0,1122,1,0
155,7.0,5709,0,0
140,16.0,1685,1,0
208,10.0,2100,1,0
260,10.0,4331,0,0
158,10.0,5502,0,0
151,10.0,1001,1,0
211,10.0,4812,0,0
204,35.0,2513,1,0
281,10.0,1884,0,0
234,40.0,3340,1,0
115,10.0,1814,1,0
238,10.0,1367,0,0
268,10.0,4400,1,0
265,10.0,5241,0,0
239,10.0,4247,0,0
181,10.0,5812,0,0
248,4.0,5587,0,0
113,5.0,4743,0,0
245,10.0,1112,0,0
268,2.0,4746,1,0
223,10.0,3938,1,0
101,10.0,4860,0,0
242,8.0,5915,1,0
210,5.0,4560,1,0
145,8.0,5780,0,0
182,10.0,3063,1,0
244,10.0,5781,1,1
291,8.0,1019,0,0
274,2.0,4281,0,0
150,10.0,1256,1,0
167,1.0,5301,0,0
257,10.0,1619,0,0
206,10.0,5572,1,0
161,10.0,1338,1,0
216,9.0,5804,0,0
247,2.0,4975,1,0
157,2.0,4343,1,0
209,10.0,3026,1,0
142,10.0,4918,0,0
220,10.0,5032,1,0
287,9.0,1367,1,0
154,10.0,1711,1,0
242,35.0,1367,1,0
227,10.0,5465,0,0
272,10.0,1367,1,0
218,10.0,1678,1,0
183,5.0,3716,1,0
167,5.0,1169,1,0
172,10.0,1367,0,0
253,9.0,5502,1,0
200,10.0,4291,1,0
165,61.0,1313,1,0
252,10.0,5769,0,0
198,10.0,5719,0,0
196,10.0,5427,1,0
184,8.0,4667,0,0
147,10.0,5013,0,0
203,2.0,4845,0,0
160,9.0,4613,0,0
248,10.0,4366,1,0
119,32.0,1791,1,0
206,20.0,2247,1,0
180,3.0,5605,0,0
151,8.0,1367,1,0
172,10.0,1367,1,0
139,10.0,1788,1,0
264,10.0,2751,1,0
133,10.0,5213,1,0
180,1.0,4655,1,0
226,32.0,2912,1,0
261,10.0,5600,1,0
163,7.0,4463,0,0
232,10.0,3436,1,0
240,6.0,5045,1,0
238,3.0,1965,1,0
247,10.0,1941,0,0
187,8.0,4893,0,0
146,10.0,4032,1,0
228,10.0,4946,1,0
179,10.0,5301,1,1
198,10.0,5025,1,0
284,10.0,4562,1,0
184,10.0,5931,1,0
259,10.0,2381,1,0
254,2.0,1573,1,0
222,10.0,4714,1,0
153,10.0,4248,0,0
279,10.0,1246,1,0
261,10.0,1794,1,0
143,10.0,1326,1,0
275,10.0,4287,1,0
142,8.0,6064,1,0
144,10.0,1202,1,0
228,10.0,4719,1,1
242,9.0,1767,0,0
254,10.0,3885,1,0
161,10.0,5629,0,0
146,10.0,4351,0,0
243,10.0,3681,1,0
251,2.0,4839,1,0
135,58.0,1734,1,0
147,16.0,1563,1,0
264,10.0,1399,0,0
246,10.0,2440,1,0
257,4.0,5196,1,0
182,10.0,5060,0,0
174,54.0,1367,1,0
195,9.0,5832,0,0
152,3.0,4250,1,0
255,2.0,1826,1,0
230,10.0,5278,1,0
285,2.0,1516,0,0
255,10.0,1373,0,0
307,1.0,1793,1,0
268,10.0,4126,1,0
278,36.0,2330,1,0
267,10.0,4703,0,0
137,10.0,5888,0,0
145,20.0,1387,1,0
164,4.0,5567,1,0
268,10.0,5998,0,0
242,10.0,4721,0,0
160,10.0,1030,1,0
227,35.0,3583,1,1
131,6.0,1659,1,0
196,5.0,4891,0,0
211,10.0,3296,1,0
158,15.0,1030,1,0
242,2.0,3564,1,1
248,10.0,5567,1,0
133,21.0,1648,1,0
256,63.0,1367,1,0
242,10.0,5635,0,0
192,10.0,3183,1,0
226,65.0,3840,1,0
214,1.0,5362,0,0
212,5.0,4774,1,0
307,10.0,1653,0,0
198,1.0,3667,1,0
193,10.0,4796,0,0
232,3.0,1500,0,0
156,9.0,4098,0,0
271,2.0,1364,1,0
275,10.0,1700,1,0
218,10.0,5142,0,0
254,10.0,1350,0,0
201,10.0,5771,0,0
235,4.0,5325,0,0
235,5.0,3065,1,0
219,10.0,1260,0,0
193,1.0,4459,0,1
179,10.0,4487,0,0
264,10.0,1960,0,0
299,10.0,1192,0,0
217,16.0,3444,1,0
266,19.0,2508,1,0
303,10.0,1195,1,0
257,10.0,4242,1,0
196,10.0,5216,1,0
264,10.0,2882,1,0
196,10.0,4194,1,0
149,8.0,5396,0,0
256,5.0,1533,1,0
266,2.0,1776,1,0
180,10.0,4802,1,0
127,10.0,1341,1,0
196,5.0,4342,1,0
139,10.0,1233,1,0
242,10.0,4644,1,0
189,10.0,4765,0,0
271,9.0,1813,1,1
286,10.0,4424,0,0
152,48.0,1212,1,0
188,2.0,4336,0,0
285,10.0,1491,1,0
157,10.0,1115,1,0
257,4.0,4710,0,0
229,9.0,1361,0,0
136,10.0,1900,1,0
238,10.0,4355,1,0
159,9.0,4099,1,1
264,10.0,1220,1,0
259,10.0,4481,0,1
169,6.0,5106,1,0
252,2.0,1249,0,0
270,10.0,4690,1,1
162,10.0,4850,1,0
213,10.0,5526,0,0
217,6.0,4887,0,0
232,10.0,1899,1,0
265,10.0,4268,1,0
138,8.0,5714,0,0
145,10.0,5696,0,0
133,10.0,1367,1,0
181,1.0,5310,0,0
246,10.0,3993,1,0
167,10.0,4267,1,0
184,2.0,4052,0,0
140,7.0,1401,1,1
165,6.0,4445,0,0
258,10.0,4159,0,0
166,10.0,1095,1,0
254,5.0,4985,1,0
253,10.0,1235,0,0
267,10.0,1119,1,0
145,10.0,4492,1,0
253,10.0,1367,1,0
186,10.0,3676,1,0
137,10.0,4622,1,0
111,3.0,1711,1,0
240,10.0,5277,0,1
250,10.0,3021,1,0
168,10.0,4096,1,0
297,1.0,1080,0,0
168,10.0,5488,1,0
154,1.0,5578,0,0
233,7.0,4874,0,0
243,10.0,5734,1,1
212,6.0,5935,1,0
228,10.0,4456,1,0
132,12.0,1493,1,0
234,3.0,4405,0,0
273,4.0,1223,1,0
104,1.0,1021,1,0
143,10.0,1367,1,0
243,4.0,1633,1,0
221,10.0,1220,0,0
256,10.0,1686,0,0
219,10.0,5314,0,0
246,3.0,1852,0,0
172,10.0,1367,1,0
183,10.0,4789,0,0
180,10.0,4332,0,0
218,60.0,3048,1,0
246,10.0,1646,1,0
270,7.0,1303,1,0
267,10.0,4720,1,0
258,9.0,1856,1,0
99,10.0,1223,1,1
134,45.0,1946,1,0
207,10.0,1367,0,1
270,7.0,5248,1,0
242,10.0,4199,0,0
202,45.0,1367,1,0
258,10.0,4578,0,0
239,10.0,1815,0,0
210,3.0,2742,1,0
258,12.0,2017,1,0
236,10.0,3949,1,1
269,3.0,1006,0,0
310,4.0,1806,0,0
256,10.0,1927,1,1
157,10.0,5354,1,0
206,10.0,1680,0,0
135,15.0,1008,1,0
162,10.0,1367,1,0
142,10.0,5930,0,0
171,10.0,4839,0,0
172,10.0,4805,0,0
136,9.0,5469,0,0
237,8.0,4461,0,0
134,9.0,4436,0,0
300,5.0,1244,0,0
238,10.0,1150,1,0
227,10.0,5904,0,0
151,10.0,5379,1,0
264,9.0,4490,0,0
263,4.0,4208,0,0
223,3.0,4480,0,0
222,10.0,5115,1,0
227,10.0,2761,1,0
270,10.0,5346,0,1
223,10.0,1210,0,0
251,10.0,5347,1,0
271,2.0,4237,1,0
173,15.0,1992,1,0
264,10.0,3561,1,0
218,10.0,5973,0,0
266,10.0,5116,0,1
253,10.0,1482,0,0
205,10.0,1367,1,0
212,10.0,4811,0,0
145,29.0,1690,1,0
232,8.0,4658,1,0
254,10.0,3496,1,0
153,35.0,1089,1,0
236,10.0,4987,1,0
182,10.0,1367,0,0
153,7.0,4944,1,0
103,3.0,4966,0,0
264,56.0,3482,1,0
144,10.0,1178,1,0
245,10.0,4882,1,0
267,10.0,2622,1,0
184,5.0,4039,1,0
250,4.0,1111,1,0
194,10.0,5566,0,0
147,10.0,5882,0,0
132,5.0,4613,0,0
165,10.0,4208,0,1
193,13.0,2882,1,0
132,10.0,1767,1,0
145,10.0,1651,1,0
272,10.0,1188,1,0
174,10.0,4902,1,0
223,3.0,4382,0,0
238,6.0,5325,1,0
279,10.0,1090,1,0
269,10.0,1264,1,0
175,40.0,1367,1,0
124,10.0,4331,0,0
197,10.0,5581,0,0
223,10.0,4219,0,0
261,10.0,2488,1,0
231,53.0,2333,1,0
238,10.0,4399,1,0
309,8.0,1930,0,0
259,10.0,1054,0,0
272,10.0,2307,1,0
177,6.0,5116,0,0
240,10.0,2174,1,0
271,10.0,5229,1,0
246,7.0,4090,0,0
201,2.0,5540,1,0
220,8.0,5727,1,0
159,10.0,5577,1,0
236,10.0,3652,1,0
273,8.0,2000,0,0
239,10.0,5511,1,0
241,3.0,4253,1,0
202,1.0,5220,1,0
171,10.0,1352,1,0
150,43.0,1831,1,0
156,7.0,5938,0,0
232,7.0,5737,1,0
286,8.0,1690,1,0
247,1.0,4637,1,0
245,10.0,1771,1,0
242,10.0,1382,1,0
184,3.0,4719,0,0
163,10.0,4887,0,0
283,10.0,1578,0,0
205,6.0,4853,0,0
262,9.0,1369,0,0
271,10.0,1710,1,0
170,10.0,4696,1,0
216,5.0,1272,0,0
216,10.0,3024,1,0
259,10.0,5978,0,0
221,10.0,1927,1,0
183,6.0,3364,1,1
184,2.0,5800,0,0
209,10.0,4047,0,0
252,10.0,4303,0,1
181,10.0,5332,0,0
228,8.0,5643,1,0
192,10.0,4949,0,1
203,10.0,4217,0,0
256,15.0,3155,1,0
306,10.0,1790,1,0
160,10.0,1977,1,1
252,10.0,2102,1,0
240,6.0,4412,0,1
272,10.0,5034,1,0
144,10.0,1367,0,0
127,16.0,1955,1,0
169,7.0,1897,0,0
195,10.0,2021,1,0
167,10.0,4621,1,0
198,10.0,5730,1,0
132,10.0,5025,1,0
123,60.0,1653,1,0
268,9.0,1354,1,0
264,5.0,3861,1,0
171,7.0,5318,1,0
205,10.0,2427,1,0
158,10.0,1374,1,0
158,10.0,4244,1,0
137,10.0,4066,1,0
257,10.0,4937,1,0
141,9.0,5000,0,0
137,10.0,1823,1,0
141,10.0,5775,0,0
194,10.0,4770,0,0
223,10.0,4211,0,0
184,10.0,4581,0,0
250,10.0,5565,0,0
178,6.0,4146,0,0
245,3.0,1155,0,0
214,10.0,3234,1,0
208,10.0,2674,1,1
169,10.0,5659,0,0
236,23.0,1367,1,1
242,2.0,5359,0,0
157,62.0,1366,1,0
254,7.0,1064,0,0
151,39.0,1458,1,1
208,10.0,4919,0,0
241,10.0,5587,1,0
224,9.0,4896,0,0
213,4.0,5481,1,0
162,1.0,4240,1,0
151,10.0,1150,0,0
265,10.0,5164,1,0
116,6.0,4649,0,0
163,10.0,4862,0,0
179,10.0,4913,0,0
164,7.0,4657,0,1
139,10.0,1367,1,0
182,14.0,3413,1,0
194,10.0,4038,1,0
238,10.0,1367,0,0
160,10.0,4055,0,0
187,6.0,4567,0,1
271,10.0,4305,1,1
254,10.0,1545,0,0
269,10.0,3542,1,0
300,10.0,1188,0,0
160,10.0,4304,1,0
197,3.0,4890,1,0
256,10.0,3030,1,0
241,10.0,5261,0,0
264,27.0,3118,1,0
176,34.0,1283,1,1
104,10.0,4323,1,0
175,10.0,4840,1,0
263,9.0,5390,0,0
161,9.0,4623,0,0
162,52.0,1125,1,0
178,10.0,4120,1,0
99,8.0,5872,0,0
166,8.0,1367,1,0
116,10.0,1130,1,1
261,6.0,5920,0,0
248,8.0,1810,0,0
185,10.0,2910,1,0
215,10.0,3715,1,1
265,24.0,1367,1,1
145,10.0,5618,1,0
282,7.0,1758,0,0
162,7.0,5313,0,0
163,10.0,5791,1,0
263,10.0,4911,0,1
216,1.0,2434,1,0
221,6.0,1488,1,0
